"STATION","date","EC_val"
11476,1993-09-21,14
11476,1996-06-18,80
11476,1996-06-18,80
11476,1996-06-18,80
11476,1993-03-09,49
11476,1993-06-08,79
11476,1993-12-14,23
11476,1994-03-22,46
11476,1994-06-21,33
11476,1994-09-13,33
11476,1994-12-06,17
11476,1995-03-14,49
11476,1995-06-20,49
11476,1995-09-12,22
11476,1996-03-19,145
11476,1996-03-19,20
11476,1996-09-10,28
11476,1996-09-10,72
11476,1996-12-10,155
11476,1996-12-10,108
11476,1997-03-18,145
11476,1997-03-18,24
11476,1997-03-18,145
11476,1997-03-18,24
11476,1997-06-24,300
11476,1997-06-24,160
11476,1997-09-10,20
11476,1997-09-10,60
11476,1997-12-09,46
11476,1997-12-09,58
11476,1998-03-17,36
11476,1998-03-17,4
11476,1998-07-07,54
11476,1998-07-07,20
11476,1998-09-15,26
11476,1998-09-15,24
11476,1998-11-17,56
11476,1998-11-17,42
11476,1999-01-26,14
11476,1999-01-26,24
11476,1999-03-30,600
11476,1999-03-30,600
11476,1999-05-25,18
11476,1999-05-25,30
11476,1999-07-20,10
11476,1999-07-20,20
11476,1999-09-21,2
11476,1999-09-21,4
11476,1999-11-02,10
11476,1999-11-02,6
11476,2000-01-12,22
11476,2000-01-12,18
11476,2000-03-28,10
11476,2000-03-28,4
11476,2000-05-23,38
11476,2000-05-23,26
11476,2000-07-12,8
11476,2000-07-12,26
11476,2000-09-12,54
11476,2000-09-12,40
11476,2000-11-28,62
11476,2000-11-28,48
11476,2001-01-23,6
11476,2001-01-23,4
11476,2001-03-21,454
11476,2001-03-21,496
11476,2001-05-15,384
11476,2001-05-15,240
11476,2001-07-31,62
11476,2001-07-31,48
11476,2001-09-25,64
11476,2001-09-25,60
11476,2001-11-27,78
11476,2001-11-27,74
11476,2002-01-08,46
11476,2002-01-08,30
11476,2002-03-05,6
11476,2002-03-05,10
11476,2002-05-07,16
11476,2002-05-07,22
11476,2002-07-09,17
11476,2002-11-13,29
11476,2003-01-07,11
11476,2003-03-25,20
11476,2003-05-13,57
11476,2003-07-16,23
11476,2003-11-04,2
11476,2004-01-21,13
11476,2004-03-17,28
11476,2004-05-05,51
11476,2004-07-07,39
11476,2004-09-22,37
11476,2004-11-02,93
11476,2005-01-11,6
11476,2005-03-23,7
11476,2005-05-11,248
11476,2005-07-26,26
11476,2005-09-27,5
11476,2005-11-02,649
11476,2006-01-04,18
11476,2006-03-08,23
11476,2006-05-03,20
11476,2006-07-18,16
11476,2006-09-12,8
11476,2006-11-28,12
11476,2007-01-23,6
11476,2007-03-13,4
11476,2007-05-08,26
11476,2007-07-10,11
11476,2007-09-25,68
11476,2007-11-06,7
11476,2008-01-15,11
11476,2008-03-04,17
11476,2008-05-20,155
11476,2008-07-08,35
11476,2008-05-20,173
11476,2008-05-20,108
11476,2007-08-16,51
11476,2007-09-12,26
11476,2007-10-15,6
11476,2007-12-04,42
11476,2007-12-05,29
11476,2007-12-06,33
11476,2007-12-06,86
11476,2007-07-18,100
11476,2007-12-05,39
11476,2008-08-18,225
11476,2008-05-21,146
11476,2008-05-21,66
11476,2007-06-20,62
11476,2007-11-12,26
11476,2008-12-03,36
11476,2009-01-06,36
11476,2009-02-18,10
11476,2009-02-18,3
11476,2009-03-03,10
11476,2008-01-03,20
11476,2008-02-04,13
11476,2008-04-07,44
11476,2008-05-05,20
11476,2008-06-13,39
11476,2008-07-07,36
11476,2008-07-28,28
11476,2008-08-18,210
11476,2008-09-08,50
11476,2008-09-30,53
11476,2009-02-17,20
11476,2009-02-17,8
11476,2008-03-03,19
11476,2008-11-11,50
11476,2008-11-13,260
11476,2008-11-12,350
11476,2009-04-21,38
11476,2009-07-21,20
11476,2009-09-22,29
11476,2009-11-17,84
11476,2010-01-12,23
11476,2010-03-09,17
11476,2010-05-25,179
11476,2008-11-11,160
11476,2010-09-07,59
11476,2010-11-22,29
11476,2011-01-04,9
11476,2011-03-29,40
11476,2011-05-03,33
11476,2011-07-25,21
11476,2011-09-12,23
11476,2008-08-19,70
11476,2008-08-19,70
11476,2008-08-20,600
11476,2008-08-20,580
11476,2008-11-20,84
11476,2008-11-20,84
11476,2008-11-21,60
11476,2008-11-21,52
11476,2011-11-28,32
11476,2012-01-17,40
11476,2012-03-06,5
11476,2012-05-29,19
11476,2012-07-30,23
11476,2012-09-04,38
11476,2012-11-13,48
11476,2008-11-12,580
11476,2008-11-13,550
11476,2010-07-20,43
11476,2009-10-19,4
11476,2009-11-16,40
11476,2009-12-14,16
11476,2010-01-04,24
11476,2010-01-24,27
11476,2010-03-29,130
11476,2010-02-18,10
11476,2010-03-08,19
11476,2010-05-10,99
11476,2010-06-02,520
11476,2010-06-21,84
11476,2010-07-12,42
11476,2010-08-02,31
11476,2010-04-19,17
11476,2010-10-25,270
11476,2010-11-17,21
11476,2010-09-13,5
11476,2010-12-27,32
11476,2011-01-24,10
11476,2011-02-14,17
11476,2011-03-14,60
11476,2011-04-05,3
11476,2011-04-20,17
11476,2011-05-23,120
11476,2011-06-20,47
11476,2011-07-18,52
11476,2011-08-15,24
11476,2011-09-12,28
11476,2011-10-11,390
11476,2011-11-07,20
11476,2011-12-05,7
11476,2012-01-09,9
11476,2012-02-13,31
11476,2012-04-09,21
11476,2010-08-23,64
11476,2012-06-04,99
11476,2012-07-09,47
11476,2012-08-06,16
11476,2012-09-10,25
11476,2012-10-09,17
11476,2012-11-05,32
11476,2012-12-03,52
11476,2013-01-02,130
11476,2013-01-28,9
11476,2013-02-25,75
